search_term,pdf_filename,pdf_path,page_numbers
Bosch,25-1968.ORDER.6-12-2026_2708873.pdf,C:\Users\aundr\OneDrive\Desktop\coding\CaseyPuller\cafc_opinions\25-1968.ORDER.6-12-2026_2708873.pdf,[1]
IPR2024-00823,25-1968.ORDER.6-12-2026_2708873.pdf,C:\Users\aundr\OneDrive\Desktop\coding\CaseyPuller\cafc_opinions\25-1968.ORDER.6-12-2026_2708873.pdf,[1]
